Curve,Frame
13.75883,88.032576
13.760897,88.151904
13.762892,88.268064
13.764935,88.388256
13.766944,88.507488
13.773895,88.930464
13.775764,89.047104
13.777672,89.16768
13.779487,89.283936
13.781293,89.40096
13.783114,89.520672
13.784871,89.637792
13.786608,89.755296
13.788358,89.875488
13.790023,89.991648
13.791687,90.109632
13.793352,90.229824
13.794953,90.347328
13.796525,90.464832
13.798102,90.585024
13.803242,90.994848
13.804652,91.112832
13.806054,91.232928
13.806408,91.263744
13.807388,91.350048
13.807718,91.37952
13.808727,91.470624
13.80903,91.498368
13.81004,91.592064
13.810316,91.61808
13.811299,91.711776
13.811531,91.73424
13.812504,91.82976
13.813687,91.948992
13.814808,92.065632
13.815033,92.08944
13.815895,92.182368
13.816108,92.205696
13.816984,92.303328
13.817201,92.328
13.818004,92.420832
13.818199,92.443776
13.818988,92.538432
13.819965,92.659872
13.820131,92.680992
13.821022,92.797248
13.823216,93.107712
13.824011,93.23088
13.824584,93.324192
13.824719,93.346656
13.825281,93.443424
13.825408,93.465984
13.82592,93.55968
13.82606,93.58608
13.826528,93.677568
13.826657,93.703584
13.827626,93.9144
13.827736,93.940416
13.828114,94.033248
13.82821,94.05792
13.828561,94.15248
13.828959,94.2696
13.829037,94.294272
13.829315,94.38672
13.829383,94.411008
13.829636,94.506432
13.829704,94.534176
13.829904,94.621728
13.829971,94.653888
13.830137,94.740576
13.830197,94.775328
13.830328,94.859904
13.830471,94.97568
13.830647,95.263392
13.830644,95.383968
13.830635,95.41824
13.830598,95.501088
13.830577,95.53488
13.830507,95.6208
13.830475,95.652384
13.830372,95.740032
13.830327,95.772576
13.830196,95.856672
13.83014,95.889216
13.829969,95.978112
13.829923,96
