Phase,Mag,MagErr,Curve,
0.205828,13.527057,0.007,13.534218,
0.206223,13.539403,0.005,13.533985,
0.20643,13.528549,0.004,13.533865,
0.207043,13.528051,0.007,13.533514,
0.207452,13.548396,0.005,13.533284,
0.207682,13.542542,0.004,13.533156,
0.20869,13.536389,0.005,13.532608,
0.208902,13.528535,0.005,13.532496,
0.209914,13.550381,0.005,13.531971,
0.21013,13.536529,0.005,13.531862,
0.211134,13.544374,0.005,13.531367,
0.211373,13.518522,0.005,13.531252,
0.212593,13.527515,0.005,13.530685,
0.21543,13.543349,0.005,13.529484,
0.216663,13.532342,0.005,13.529013,
0.217906,13.512992,0.007,13.528571,
0.217915,13.533334,0.005,13.528568,
0.218605,13.533482,0.005,13.528336,
0.219125,13.534327,0.005,13.528167,
0.219162,13.513985,0.007,13.528155,
0.21982,13.529475,0.005,13.527951,
0.220372,13.52932,0.005,13.527785,
0.220373,13.512978,0.007,13.527785,
0.221039,13.516468,0.005,13.527594,
0.221588,13.521972,0.007,13.527444,
0.221615,13.536313,0.005,13.527437,
0.222291,13.523461,0.004,13.52726,
0.222834,13.544305,0.005,13.527125,
0.222844,13.518965,0.007,13.527123,
0.223506,13.526454,0.005,13.526966,
0.224055,13.513958,0.007,13.526843,
0.224132,13.548298,0.005,13.526827,
0.224735,13.536448,0.005,13.526699,
0.22527,13.514952,0.007,13.526593,
0.225378,13.54429,0.005,13.526572,
0.225973,13.516441,0.005,13.526461,
0.226526,13.520945,0.007,13.526365,
0.22663,13.543283,0.005,13.526348,
0.227188,13.520434,0.004,13.526258,
0.227732,13.526938,0.007,13.526176,
0.227841,13.534276,0.005,13.526161,
0.22843,13.537427,0.004,13.52608,
0.228961,13.520931,0.007,13.526014,
0.229092,13.529269,0.005,13.525998,
0.229691,13.54042,0.005,13.525932,
0.230208,13.516925,0.007,13.52588,
0.230335,13.527261,0.005,13.525868,
0.230947,13.530413,0.005,13.525815,
0.231423,13.511918,0.007,13.525779,
0.23155,13.532254,0.005,13.52577,
0.23218,13.527406,0.004,13.525731,
0.23267,13.524911,0.007,13.525707,
0.232792,13.539247,0.005,13.525701,
0.233441,13.541399,0.004,13.525677,
0.233917,13.513904,0.007,13.525665,
0.234706,13.529392,0.004,13.525654,
0.235137,13.517898,0.007,13.525653,
0.237093,13.536221,0.005,13.525696,
0.238331,13.535214,0.005,13.525762,
0.238934,13.518369,0.004,13.525805,
0.239365,13.527875,0.007,13.525839,
0.239601,13.532207,0.005,13.52586,
0.24019,13.512362,0.004,13.525916,
0.240621,13.514868,0.007,13.525962,
0.24082,13.541199,0.005,13.525984,
0.241405,13.519355,0.004,13.526054,
0.241831,13.516861,0.007,13.526109,
0.242063,13.533192,0.005,13.52614,
0.24263,13.516348,0.005,13.526221,
0.243051,13.515855,0.007,13.526285,
0.243305,13.536185,0.005,13.526326,
0.243868,13.531341,0.004,13.526419,
0.244298,13.507848,0.007,13.526495,
0.24452,13.541178,0.005,13.526536,
0.245083,13.533334,0.004,13.526643,
0.245513,13.540841,0.007,13.526729,
0.245749,13.53417,0.005,13.526777,
0.246339,13.525327,0.004,13.526903,
0.246746,13.524835,0.007,13.526994,
0.246992,13.541163,0.005,13.52705,
0.24759,13.51032,0.005,13.527192,
0.248003,13.520828,0.007,13.527294,
0.248207,13.541156,0.005,13.527345,
0.248806,13.526314,0.004,13.527501,
0.249209,13.524821,0.007,13.52761,
0.249458,13.547149,0.005,13.527679,
0.25003,13.530307,0.004,13.527841,
0.250437,13.523814,0.007,13.52796,
0.250705,13.540141,0.005,13.52804,
0.251272,13.5373,0.004,13.528214,
0.251698,13.526808,0.007,13.528348,
0.251934,13.529134,0.005,13.528424,
0.252496,13.526293,0.004,13.52861,
0.252909,13.522801,0.007,13.528749,
0.25314,13.540127,0.005,13.528829,
0.253716,13.523286,0.004,13.529032,
0.254133,13.526794,0.007,13.529182,
0.254383,13.54012,0.005,13.529274,
0.254968,13.525279,0.004,13.529493,
0.25538,13.525788,0.007,13.529651,
0.256174,13.531273,0.005,13.529965,
0.256581,13.515781,0.007,13.530131,
0.258656,13.530094,0.005,13.53102,
0.259898,13.531087,0.005,13.53159,
0.260443,13.522249,0.004,13.531848,
0.260855,13.530758,0.007,13.532048,
0.261177,13.54908,0.005,13.532206,
0.261681,13.525242,0.004,13.532456,
0.262392,13.555072,0.005,13.532818,
0.262909,13.526235,0.004,13.533086,
0.263639,13.551065,0.005,13.533473,
0.264125,13.524228,0.004,13.533736,
0.264877,13.529058,0.005,13.534151,
0.265381,13.542221,0.004,13.534434,
0.266106,13.53005,0.005,13.534851,
0.266596,13.529215,0.004,13.535137,
0.267326,13.540043,0.005,13.535571,
0.267815,13.536208,0.004,13.535868,
0.268586,13.539036,0.005,13.536343,
0.269053,13.532201,0.004,13.536636,
0.269806,13.543029,0.005,13.537117,
0.270264,13.528194,0.004,13.537413,
0.271026,13.537021,0.005,13.537915,
0.271479,13.532187,0.004,13.538219,
0.272264,13.536014,0.005,13.538752,
0.272735,13.53418,0.004,13.539078,
0.273479,13.538007,0.005,13.539599,
0.273955,13.544174,0.004,13.539937,
0.27473,13.562,0.005,13.540497,
0.275188,13.538167,0.004,13.540832,
0.275986,13.558992,0.005,13.541425,
0.276435,13.53816,0.004,13.541763,
0.277705,13.545153,0.004,13.542737,
0.281937,13.557129,0.004,13.546177,
0.283189,13.557122,0.005,13.54725,
0.284468,13.530115,0.004,13.548373,
